MAPA	CVE_ENT	NOM_ENT	NOM_ABR	CVE_MUN	NOM_MUN	CVE_LOC	NOM_LOC	AMBITO	LATITUD	LONGITUD	LAT_DECIMAL	LON_DECIMAL	ALTITUD	CVE_CARTA	POB_TOTAL	POB_MASCULINA	POB_FEMENINA	TOTAL DE VIVIENDAS HABITADAS
"010010001"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0001"	"Aguascalientes"	"U"	"21°52´47.362"N"	"102°17´45.768"W"	"21.87982200"	"-102.29604600"	"1878"	"F13D19"	"863893"	"419168"	"444725"	"246259"
"010010094"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0094"	"Granja Adelita"	"R"	"21°52´18.749"N"	"102°22´24.710"W"	"21.87187400"	"-102.37353000"	"1901"	"F13D18"	"5"	"*"	"*"	"2"
"010010096"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0096"	"Agua Azul"	"R"	"21°53´01.522"N"	"102°21´25.639"W"	"21.88375600"	"-102.35712200"	"1861"	"F13D18"	"41"	"24"	"17"	"12"
"010010100"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0100"	"Rancho Alegre"	"R"	"21°51´16.556"N"	"102°22´21.884"W"	"21.85459900"	"-102.37274500"	"1879"	"F13D18"	"0"	"0"	"0"	"0"
"010010102"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0102"	"Los Arbolitos [Rancho]"	"R"	"21°46´48.650"N"	"102°21´26.261"W"	"21.78018000"	"-102.35729500"	"1861"	"F13D18"	"8"	"*"	"*"	"2"
"010010104"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0104"	"Ardillas de Abajo (Las Ardillas)"	"R"	"21°56´42.243"N"	"102°11´30.914"W"	"21.94506700"	"-102.19192000"	"1994"	"F13D19"	"1"	"*"	"*"	"1"
"010010106"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0106"	"Arellano"	"R"	"21°48´06.384"N"	"102°16´26.238"W"	"21.80177300"	"-102.27395400"	"1891"	"F13D19"	"1169"	"613"	"556"	"281"
"010010112"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0112"	"Bajío los Vázquez"	"R"	"21°44´50.978"N"	"102°07´29.341"W"	"21.74749400"	"-102.12481600"	"1971"	"F13D29"	"41"	"20"	"21"	"9"
"010010113"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0113"	"Bajío de Montoro"	"R"	"21°45´28.377"N"	"102°17´24.472"W"	"21.75788300"	"-102.29013100"	"1871"	"F13D19"	"0"	"0"	"0"	"0"
"010010114"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0114"	"Residencial San Nicolás [Baños la Cantera]"	"R"	"21°50´58.194"N"	"102°21´19.519"W"	"21.84949800"	"-102.35542200"	"1859"	"F13D18"	"-"	"-"	"-"	"-"
"010010120"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0120"	"Buenavista de Peñuelas"	"R"	"21°43´08.930"N"	"102°17´35.503"W"	"21.71914700"	"-102.29319500"	"1871"	"F13D29"	"1054"	"542"	"512"	"255"
"010010121"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0121"	"Cabecita 3 Marías (Rancho Nuevo)"	"R"	"21°46´28.857"N"	"102°24´46.772"W"	"21.77468200"	"-102.41299200"	"1905"	"F13D18"	"192"	"92"	"100"	"47"
"010010125"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0125"	"Cañada Grande de Cotorina"	"R"	"21°47´02.626"N"	"102°14´11.261"W"	"21.78406200"	"-102.23646100"	"1983"	"F13D19"	"493"	"231"	"262"	"115"
"010010126"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0126"	"Cañada Honda [Estación]"	"R"	"22°00´27.915"N"	"102°11´49.149"W"	"22.00775400"	"-102.19698600"	"1921"	"F13B89"	"536"	"275"	"261"	"136"
"010010127"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0127"	"Los Caños"	"R"	"21°46´57.179"N"	"102°28´00.707"W"	"21.78254900"	"-102.46686200"	"1910"	"F13D18"	"1225"	"602"	"623"	"341"
"010010128"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0128"	"El Cariñán"	"R"	"21°53´39.885"N"	"102°22´14.606"W"	"21.89441200"	"-102.37072300"	"1888"	"F13D18"	"256"	"131"	"125"	"56"
"010010129"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0129"	"El Carmen [Granja]"	"R"	"21°53´08.004"N"	"102°19´23.792"W"	"21.88555600"	"-102.32327500"	"1847"	"F13D19"	"-"	"-"	"-"	"-"
"010010135"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0135"	"El Cedazo (Cedazo de San Antonio)"	"R"	"21°41´54.793"N"	"102°18´38.758"W"	"21.69855300"	"-102.31076600"	"1860"	"F13D29"	"322"	"167"	"155"	"69"
"010010138"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0138"	"Centro de Arriba (El Taray)"	"R"	"21°43´51.627"N"	"102°29´55.369"W"	"21.73100700"	"-102.49871300"	"1871"	"F13D28"	"1172"	"550"	"622"	"316"
"010010139"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0139"	"Cieneguilla (La Lumbrera)"	"R"	"21°43´56.195"N"	"102°27´12.732"W"	"21.73227600"	"-102.45353700"	"1826"	"F13D28"	"997"	"502"	"495"	"252"
"010010141"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0141"	"Cobos"	"R"	"21°49´30.440"N"	"102°14´02.290"W"	"21.82512200"	"-102.23396900"	"1939"	"F13D19"	"11"	"6"	"5"	"3"
"010010144"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0144"	"El Colorado (El Soyatal)"	"R"	"21°54´15.960"N"	"102°10´05.610"W"	"21.90443300"	"-102.16822400"	"2023"	"F13D19"	"468"	"217"	"251"	"116"
"010010146"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0146"	"El Conejal"	"R"	"21°54´59.969"N"	"102°12´29.201"W"	"21.91665800"	"-102.20811100"	"1989"	"F13D19"	"1081"	"543"	"538"	"241"
"010010157"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0157"	"Cotorina de Abajo"	"R"	"21°45´23.789"N"	"102°15´59.459"W"	"21.75660800"	"-102.26651600"	"1889"	"F13D19"	"55"	"27"	"28"	"15"
"010010162"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0162"	"Coyotes"	"R"	"21°52´09.453"N"	"102°20´28.732"W"	"21.86929200"	"-102.34131400"	"1854"	"F13D18"	"318"	"161"	"157"	"74"
"010010166"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0166"	"La Huerta (La Cruz)"	"R"	"21°41´15.606"N"	"102°26´53.140"W"	"21.68766800"	"-102.44809400"	"1767"	"F13D28"	"0"	"0"	"0"	"0"
"010010170"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0170"	"Cuauhtémoc (Las Palomas)"	"R"	"21°45´22.882"N"	"102°21´04.181"W"	"21.75635600"	"-102.35116100"	"1823"	"F13D18"	"468"	"239"	"229"	"124"
"010010171"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0171"	"Los Cuervos (Los Ojos de Agua)"	"R"	"21°43´51.204"N"	"102°09´38.871"W"	"21.73088900"	"-102.16079800"	"1973"	"F13D29"	"419"	"199"	"220"	"101"
"010010172"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0172"	"San José [Granja]"	"R"	"21°51´55.072"N"	"102°22´57.860"W"	"21.86529800"	"-102.38273800"	"1907"	"F13D18"	"7"	"*"	"*"	"1"
"010010176"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0176"	"La Chiripa"	"R"	"21°45´58.848"N"	"102°09´59.710"W"	"21.76634700"	"-102.16658600"	"1998"	"F13D19"	"3"	"*"	"*"	"2"
"010010182"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0182"	"Dolores"	"R"	"21°39´53.076"N"	"102°22´18.251"W"	"21.66474300"	"-102.37173600"	"1819"	"F13D28"	"0"	"0"	"0"	"0"
"010010183"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0183"	"Los Dolores"	"R"	"21°50´25.385"N"	"102°14´43.560"W"	"21.84038400"	"-102.24543300"	"1972"	"F13D19"	"11"	"7"	"4"	"3"
"010010190"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0190"	"El Duraznillo"	"R"	"21°46´56.519"N"	"102°09´59.225"W"	"21.78236600"	"-102.16645100"	"2001"	"F13D19"	"354"	"178"	"176"	"82"
"010010191"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0191"	"Los Durón"	"R"	"21°45´57.924"N"	"102°08´11.446"W"	"21.76609000"	"-102.13651200"	"1983"	"F13D19"	"144"	"76"	"68"	"36"
"010010197"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0197"	"La Escondida"	"R"	"21°53´17.440"N"	"102°21´16.704"W"	"21.88817700"	"-102.35464000"	"1865"	"F13D18"	"7"	"*"	"*"	"2"
"010010201"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0201"	"Brande Vin [Bodegas]"	"R"	"21°53´58.798"N"	"102°20´47.155"W"	"21.89966600"	"-102.34643200"	"1885"	"F13D18"	"0"	"0"	"0"	"0"
"010010207"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0207"	"Valle Redondo"	"R"	"21°52´40.978"N"	"102°21´10.884"W"	"21.87804900"	"-102.35302300"	"1854"	"F13D18"	"0"	"0"	"0"	"0"
"010010209"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0209"	"La Fortuna"	"R"	"21°49´58.682"N"	"102°19´45.852"W"	"21.83296700"	"-102.32940300"	"1850"	"F13D19"	"37"	"19"	"18"	"9"
"010010212"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0212"	"Lomas del Gachupín"	"R"	"21°51´23.973"N"	"102°14´32.730"W"	"21.85665900"	"-102.24242500"	"1969"	"F13D19"	"27"	"13"	"14"	"6"
"010010213"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0213"	"El Carmen (Gallinas Güeras) [Rancho]"	"R"	"21°46´12.753"N"	"102°06´21.806"W"	"21.77020900"	"-102.10605700"	"1988"	"F13D19"	"2"	"*"	"*"	"1"
"010010216"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0216"	"La Gloria"	"R"	"21°49´19.677"N"	"102°22´29.256"W"	"21.82213200"	"-102.37479300"	"1844"	"F13D18"	"9"	"4"	"5"	"3"
"010010226"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0226"	"Hacienda Nueva"	"R"	"21°54´26.315"N"	"102°21´31.722"W"	"21.90731000"	"-102.35881200"	"1901"	"F13D18"	"575"	"285"	"290"	"124"
"010010227"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0227"	"La Haciendita (La Esperanza)"	"R"	"21°41´09.121"N"	"102°27´05.314"W"	"21.68586700"	"-102.45147600"	"1767"	"F13D28"	"14"	"7"	"7"	"3"
"010010228"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0228"	"La Herrada"	"R"	"21°54´27.546"N"	"102°12´45.362"W"	"21.90765200"	"-102.21260100"	"1972"	"F13D19"	"7"	"*"	"*"	"2"
"010010230"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0230"	"Don Abraham [Rancho]"	"R"	"21°53´31.961"N"	"102°20´47.853"W"	"21.89221100"	"-102.34662600"	"1879"	"F13D18"	"6"	"*"	"*"	"1"
"010010231"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0231"	"Puerta de los Hoyos"	"R"	"21°45´19.300"N"	"102°11´59.812"W"	"21.75536100"	"-102.19994700"	"1961"	"F13D19"	"0"	"0"	"0"	"0"
"010010236"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0236"	"Las Jaboneras"	"R"	"21°44´44.493"N"	"102°07´00.850"W"	"21.74569200"	"-102.11690200"	"1969"	"F13D29"	"27"	"14"	"13"	"8"
"010010237"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0237"	"Jaltomate"	"R"	"22°00´57.948"N"	"102°08´42.058"W"	"22.01609700"	"-102.14501600"	"1935"	"F13B89"	"2805"	"1367"	"1438"	"655"
"010010239"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0239"	"General José María Morelos y Pavón (Cañada Honda)"	"U"	"22°00´02.173"N"	"102°12´02.362"W"	"22.00060400"	"-102.20065600"	"1922"	"F13B89"	"3822"	"1757"	"2065"	"921"
"010010253"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0253"	"Los Lirios"	"R"	"21°52´31.615"N"	"102°20´37.585"W"	"21.87544800"	"-102.34377300"	"1854"	"F13D18"	"0"	"0"	"0"	"0"
"010010256"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0256"	"La Loma de los Negritos"	"R"	"21°52´12.763"N"	"102°21´00.975"W"	"21.87021100"	"-102.35027100"	"1873"	"F13D18"	"1897"	"962"	"935"	"475"
"010010265"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0265"	"El Malacate"	"R"	"21°50´21.055"N"	"102°14´09.896"W"	"21.83918200"	"-102.23608200"	"1943"	"F13D19"	"291"	"150"	"141"	"72"
"010010270"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0270"	"La Mascota"	"R"	"21°53´56.515"N"	"102°20´31.215"W"	"21.89903200"	"-102.34200400"	"1875"	"F13D18"	"25"	"14"	"11"	"8"
"010010272"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0272"	"Matamoros [Congregación]"	"R"	"21°47´11.020"N"	"102°04´20.192"W"	"21.78639400"	"-102.07227500"	"1980"	"F13D19"	"281"	"138"	"143"	"69"
"010010279"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0279"	"El Mirador"	"R"	"21°38´47.357"N"	"102°19´57.198"W"	"21.64648800"	"-102.33255400"	"1798"	"F13D29"	"4"	"*"	"*"	"1"
"010010280"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0280"	"Los Mirasoles"	"R"	"21°48´08.378"N"	"102°15´56.972"W"	"21.80232700"	"-102.26582600"	"1909"	"F13D19"	"96"	"52"	"44"	"23"
"010010283"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0283"	"El Molino"	"R"	"21°50´23.211"N"	"102°21´00.170"W"	"21.83978100"	"-102.35004700"	"1844"	"F13D18"	"14"	"7"	"7"	"4"
"010010285"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0285"	"Montoro"	"R"	"21°46´33.798"N"	"102°17´37.792"W"	"21.77605400"	"-102.29383100"	"1856"	"F13D19"	"3"	"*"	"*"	"1"
"010010291"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0291"	"Los Negritos"	"R"	"21°52´21.179"N"	"102°20´37.954"W"	"21.87254900"	"-102.34387600"	"1853"	"F13D18"	"157"	"78"	"79"	"41"
"010010292"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0292"	"El Niágara"	"R"	"21°46´48.010"N"	"102°22´41.139"W"	"21.78000200"	"-102.37809400"	"1844"	"F13D18"	"411"	"209"	"202"	"102"
"010010293"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0293"	"Norias de Ojocaliente"	"U"	"21°53´21.749"N"	"102°13´02.218"W"	"21.88937400"	"-102.21728200"	"1959"	"F13D19"	"4476"	"2264"	"2212"	"997"
"010010296"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0296"	"El Ocote"	"R"	"21°46´50.717"N"	"102°31´06.334"W"	"21.78075400"	"-102.51842500"	"2029"	"F13D18"	"262"	"138"	"124"	"69"
"010010297"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0297"	"Comunidad el Rocío"	"R"	"21°52´41.058"N"	"102°14´15.092"W"	"21.87807100"	"-102.23752500"	"1932"	"F13D19"	"264"	"121"	"143"	"69"
"010010309"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0309"	"Las Palomas"	"R"	"21°53´33.704"N"	"102°21´36.565"W"	"21.89269500"	"-102.36015700"	"1873"	"F13D18"	"8"	"*"	"*"	"1"
"010010315"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0315"	"Peñuelas (El Cienegal)"	"R"	"21°43´18.478"N"	"102°16´16.400"W"	"21.72179900"	"-102.27122200"	"1860"	"F13D29"	"1753"	"851"	"902"	"461"
"010010321"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0321"	"Piedras Chinas"	"R"	"21°40´46.440"N"	"102°23´58.087"W"	"21.67956600"	"-102.39946800"	"1891"	"F13D28"	"0"	"0"	"0"	"0"
"010010329"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0329"	"Presa de Guadalupe"	"R"	"21°45´53.251"N"	"102°18´52.007"W"	"21.76479200"	"-102.31444600"	"1834"	"F13D19"	"0"	"0"	"0"	"0"
"010010336"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0336"	"Soledad de Arriba"	"R"	"21°47´03.839"N"	"102°06´17.749"W"	"21.78439900"	"-102.10493000"	"1994"	"F13D19"	"28"	"14"	"14"	"7"
"010010340"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0340"	"La Puerta (Granjas Cariñán)"	"R"	"21°53´10.206"N"	"102°22´43.270"W"	"21.88616800"	"-102.37868500"	"1902"	"F13D18"	"17"	"8"	"9"	"5"
"010010345"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0345"	"El Refugio de Peñuelas"	"R"	"21°42´57.488"N"	"102°17´22.346"W"	"21.71596900"	"-102.28954000"	"1863"	"F13D29"	"1638"	"803"	"835"	"426"
"010010347"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0347"	"El Refugio I"	"R"	"21°48´10.457"N"	"102°13´38.299"W"	"21.80290500"	"-102.22730500"	"1927"	"F13D19"	"0"	"0"	"0"	"0"
"010010353"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0353"	"El Rodeo"	"R"	"21°53´18.715"N"	"102°20´05.020"W"	"21.88853200"	"-102.33472700"	"1861"	"F13D18"	"3"	"*"	"*"	"2"
"010010355"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0355"	"El Salto de los Salado"	"R"	"21°45´29.115"N"	"102°22´19.322"W"	"21.75808800"	"-102.37203300"	"1808"	"F13D18"	"1377"	"666"	"711"	"378"
"010010357"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0357"	"Norias del Paso Hondo"	"U"	"21°51´37.630"N"	"102°12´25.757"W"	"21.86045300"	"-102.20715500"	"1969"	"F13D19"	"3362"	"1700"	"1662"	"763"
"010010358"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0358"	"San Agustín"	"R"	"21°48´45.467"N"	"102°18´27.493"W"	"21.81263000"	"-102.30763700"	"1870"	"F13D19"	"3"	"*"	"*"	"1"
"010010362"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0362"	"San Antonio [Granja]"	"R"	"21°53´59.872"N"	"102°22´04.063"W"	"21.89996400"	"-102.36779500"	"1879"	"F13D18"	"3"	"*"	"*"	"1"
"010010363"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0363"	"San Antonio [Granja]"	"R"	"21°46´48.475"N"	"102°21´38.480"W"	"21.78013100"	"-102.36068900"	"1862"	"F13D18"	"5"	"*"	"*"	"2"
"010010366"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0366"	"Ejido San Antonio de los Pedroza"	"R"	"21°57´05.762"N"	"102°11´10.100"W"	"21.95160100"	"-102.18613900"	"1999"	"F13D19"	"174"	"89"	"85"	"44"
"010010367"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0367"	"San Antonio de Peñuelas"	"R"	"21°40´27.951"N"	"102°18´04.699"W"	"21.67443000"	"-102.30130500"	"1835"	"F13D29"	"2616"	"1297"	"1319"	"592"
"010010370"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0370"	"San Felipe [Viñedos]"	"R"	"21°53´01.803"N"	"102°21´58.197"W"	"21.88383400"	"-102.36616600"	"1881"	"F13D18"	"424"	"219"	"205"	"113"
"010010379"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0379"	"San Ignacio"	"R"	"21°53´28.677"N"	"102°20´19.660"W"	"21.89129900"	"-102.33879400"	"1864"	"F13D18"	"1815"	"909"	"906"	"437"
"010010387"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0387"	"San José [Granja]"	"R"	"21°53´11.556"N"	"102°19´55.266"W"	"21.88654300"	"-102.33201800"	"1857"	"F13D19"	"25"	"14"	"11"	"5"
"010010388"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0388"	"San José de la Esperanza"	"R"	"21°47´33.040"N"	"102°20´54.517"W"	"21.79251100"	"-102.34847700"	"1861"	"F13D18"	"27"	"14"	"13"	"7"
"010010389"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0389"	"San José de la Ordeña"	"R"	"21°57´03.739"N"	"102°09´15.082"W"	"21.95103900"	"-102.15418900"	"2048"	"F13D19"	"509"	"265"	"244"	"116"
"010010401"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0401"	"San Luis [Granja]"	"R"	"21°51´13.080"N"	"102°20´59.727"W"	"21.85363300"	"-102.34992400"	"1876"	"F13D18"	"12"	"9"	"3"	"4"
"010010405"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0405"	"San Martín (La Cantera)"	"R"	"21°51´12.889"N"	"102°21´18.397"W"	"21.85358000"	"-102.35511000"	"1866"	"F13D18"	"93"	"43"	"50"	"24"
"010010406"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0406"	"San Miguel"	"R"	"21°54´15.031"N"	"102°22´56.048"W"	"21.90417500"	"-102.38223500"	"1900"	"F13D18"	"2"	"*"	"*"	"1"
"010010407"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0407"	"San Nicolás"	"R"	"21°48´28.254"N"	"102°20´37.506"W"	"21.80784800"	"-102.34375100"	"1879"	"F13D18"	"20"	"10"	"10"	"4"
"010010408"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0408"	"San Pascual"	"R"	"21°49´43.848"N"	"102°20´09.579"W"	"21.82884600"	"-102.33599400"	"1846"	"F13D18"	"11"	"*"	"*"	"1"
"010010410"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0410"	"San Pedro Cieneguilla"	"R"	"21°42´59.893"N"	"102°24´40.821"W"	"21.71663700"	"-102.41133900"	"1787"	"F13D28"	"432"	"210"	"222"	"111"
"010010411"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0411"	"San Rafael I"	"R"	"21°42´04.551"N"	"102°26´25.150"W"	"21.70126400"	"-102.44031900"	"1773"	"F13D28"	"0"	"0"	"0"	"0"
"010010421"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0421"	"Santa Cruz de la Presa"	"R"	"21°52´38.004"N"	"102°22´36.082"W"	"21.87722300"	"-102.37668900"	"1914"	"F13D18"	"47"	"25"	"22"	"11"
"010010422"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0422"	"Santa Cruz de la Presa (La Tlacuacha)"	"R"	"21°51´17.879"N"	"102°22´44.958"W"	"21.85496600"	"-102.37915400"	"1900"	"F13D18"	"344"	"179"	"165"	"81"
"010010426"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0426"	"Santa Gertrudis"	"R"	"21°48´41.659"N"	"102°17´37.529"W"	"21.81157200"	"-102.29375800"	"1873"	"F13D19"	"77"	"36"	"41"	"18"
"010010429"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0429"	"Santa María de Gallardo"	"R"	"22°02´50.223"N"	"102°06´49.394"W"	"22.04728400"	"-102.11372100"	"1951"	"F13B89"	"1066"	"511"	"555"	"250"
"010010432"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0432"	"Santa Teresa"	"R"	"21°47´11.314"N"	"102°23´08.087"W"	"21.78647600"	"-102.38557900"	"1880"	"F13D18"	"0"	"0"	"0"	"0"
"010010437"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0437"	"Soledad de Abajo"	"R"	"21°46´47.209"N"	"102°06´16.436"W"	"21.77978000"	"-102.10456600"	"1991"	"F13D19"	"177"	"98"	"79"	"44"
"010010440"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0440"	"La Soledad"	"R"	"21°41´01.368"N"	"102°22´47.164"W"	"21.68371300"	"-102.37976700"	"1870"	"F13D28"	"0"	"0"	"0"	"0"
"010010444"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0444"	"El Tanque de los Jiménez"	"R"	"21°42´27.778"N"	"102°22´23.310"W"	"21.70771600"	"-102.37314100"	"1865"	"F13D28"	"700"	"364"	"336"	"177"
"010010456"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0456"	"Tres Cruces"	"R"	"21°51´48.094"N"	"102°20´12.087"W"	"21.86335900"	"-102.33669100"	"1862"	"F13D18"	"2"	"*"	"*"	"1"
"010010461"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0461"	"Tanque el Trigo"	"R"	"21°53´28.608"N"	"102°10´48.039"W"	"21.89128000"	"-102.18001000"	"2029"	"F13D19"	"319"	"152"	"167"	"75"
"010010466"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0466"	"El Turicate"	"R"	"21°38´01.200"N"	"102°19´59.372"W"	"21.63366600"	"-102.33315800"	"1799"	"F13D29"	"82"	"42"	"40"	"22"
"010010476"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0476"	"La Victoria"	"R"	"21°52´50.228"N"	"102°20´45.830"W"	"21.88061800"	"-102.34606400"	"1860"	"F13D18"	"21"	"12"	"9"	"6"
"010010479"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0479"	"Villa Licenciado Jesús Terán (Calvillito)"	"U"	"21°49´26.890"N"	"102°11´16.705"W"	"21.82413500"	"-102.18797300"	"1959"	"F13D19"	"5204"	"2559"	"2645"	"1260"
"010010480"	"01"	"Aguascalientes"	"Ags."	"001"	"Aguascalientes"	"0480"	"Viñedos Aguascalientes"	"R"	"21°52´59.318"N"	"102°21´54.270"W"	"21.88314300"	"-102.36507500"	"1880"	"F13D18"	"-"	"-"	"-"	"-"
